"disease","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"Measles",2000,0,"PAK","Pakistan","","","",""
"Measles",2001,0,"PAK","Pakistan","","","",""
"Measles",2002,0,"PAK","Pakistan","","","",""
"Measles",2003,0,"PAK","Pakistan","","","",""
"Measles",2004,0,"PAK","Pakistan","","","",""
"Measles",2005,0,"PAK","Pakistan","","","",""
"Measles",2006,0,"PAK","Pakistan","","","",""
"Measles",2007,0,"PAK","Pakistan","","","",""
"Measles",2008,0,"PAK","Pakistan","","","",""
"Measles",2009,0,"PAK","Pakistan","","","",""
"Measles",2010,0,"PAK","Pakistan","","","",""
"Measles",2011,0,"PAK","Pakistan","","","",""
"Measles",2012,0,"PAK","Pakistan","","","",""
"Measles",2013,0,"PAK","Pakistan","","","",""
"Measles",2014,0,"PAK","Pakistan","","","",""
"Measles",2015,0,"PAK","Pakistan","","","",""
"Measles",2016,0,"PAK","Pakistan","","","",""
"Measles",2017,0,"PAK","Pakistan","","","",""
"Measles",2018,0,"PAK","Pakistan","","","",""
"Measles",2019,0,"PAK","Pakistan","","","",""
"Measles",2020,0,"PAK","Pakistan","","","",""
"Measles",2021,0,"PAK","Pakistan","","","",""
"Measles",2022,0,"PAK","Pakistan","","","",""
"Measles",2023,0,"PAK","Pakistan","","","",""
"Measles",2024,0,"PAK","Pakistan","","","",""
"Measles",2025,0,"PAK","Pakistan","","","",""
"Measles",2026,0,"PAK","Pakistan","","","",""
"Measles",2027,0,"PAK","Pakistan","","","",""
"Measles",2028,0,"PAK","Pakistan","","","",""
"Measles",2029,0,"PAK","Pakistan","","","",""
"Measles",2030,0,"PAK","Pakistan","","","",""
"Measles",2031,0,"PAK","Pakistan","","","",""
"Measles",2032,0,"PAK","Pakistan","","","",""
"Measles",2033,0,"PAK","Pakistan","","","",""
"Measles",2034,0,"PAK","Pakistan","","","",""
"Measles",2035,0,"PAK","Pakistan","","","",""
"Measles",2036,0,"PAK","Pakistan","","","",""
"Measles",2037,0,"PAK","Pakistan","","","",""
"Measles",2038,0,"PAK","Pakistan","","","",""
"Measles",2039,0,"PAK","Pakistan","","","",""
"Measles",2040,0,"PAK","Pakistan","","","",""
"Measles",2041,0,"PAK","Pakistan","","","",""
"Measles",2042,0,"PAK","Pakistan","","","",""
"Measles",2043,0,"PAK","Pakistan","","","",""
"Measles",2044,0,"PAK","Pakistan","","","",""
"Measles",2045,0,"PAK","Pakistan","","","",""
"Measles",2046,0,"PAK","Pakistan","","","",""
"Measles",2047,0,"PAK","Pakistan","","","",""
"Measles",2048,0,"PAK","Pakistan","","","",""
"Measles",2049,0,"PAK","Pakistan","","","",""
"Measles",2050,0,"PAK","Pakistan","","","",""
"Measles",2051,0,"PAK","Pakistan","","","",""
"Measles",2052,0,"PAK","Pakistan","","","",""
"Measles",2053,0,"PAK","Pakistan","","","",""
"Measles",2054,0,"PAK","Pakistan","","","",""
"Measles",2000,1,"PAK","Pakistan","","","",""
